"ID","Sex","BirthYear","FinalYear","GroupSize","HelpersF","Siblings","TQ","TranslocatedF","MotherID","FatherID","DominantMaleID","AgeMother","AgeFather","DominantMaleAge","LRS1YEAR","Event","ReproLifespan"
1440,1,1999,2001,2,0,0,62529.91745,0,1177,1243,1395,3.01095890410959,2.56438356164384,1.88493150684932,0,1,0
1441,1,1999,2003,2,0,0,220248.0523,0,915,1412,1412,5.13698630136986,1.05753424657534,1.05753424657534,0,1,0
1485,1,1998,2006,3,0,0,31615.66593,0,823,562,562,4.17808219178082,5,5,5,1,6
1489,1,1999,2015,3,1,0,93748.2493,0,1042,453,176,3.07123287671233,6.97260273972603,10.8821917808219,5,1,12
1492,1,1999,2004,5,0,1,45771.60847,0,542,544,609,5.7041095890411,5.7041095890411,5.73150684931507,0,1,1
1493,1,1999,2002,2,0,0,77515.40292,0,835,1031,1031,5.15068493150685,3.09041095890411,3.09041095890411,0,1,0
1494,1,1999,2015,2,0,0,215569.4533,0,845,1276,1276,5.10958904109589,2.49315068493151,2.49315068493151,3,1,3
1495,1,1999,2004,2,0,1,107516.6545,1,1200,1156,1156,3.05205479452055,3.08219178082192,3.08219178082192,NA,0,NA
1496,1,1999,2000,2,0,0,48619.49643,0,1160,1047,1047,3.04931506849315,3.0027397260274,3.0027397260274,0,1,0
1498,1,1999,2000,2,0,0,186553.7485,0,666,1028,1151,6.03013698630137,4.08493150684932,3.07397260273973,0,1,0
1499,1,1999,2013,2,0,0,98394.65041,0,670,1381,1381,6.05753424657534,2.01917808219178,2.01917808219178,6,1,11
1500,1,1999,2004,5,0,0,45771.60847,1,442,609,609,6.77534246575342,5.85205479452055,5.85205479452055,NA,0,NA
1501,0,1999,2009,3,0,0,20300.56017,0,826,216,1212,4.60821917808219,10.441095890411,2.43013698630137,6,1,7
1502,0,1999,2001,2,0,0,223467.3587,0,1517,1062,544,0.986301369863014,3.1041095890411,6.0958904109589,0,1,0
1503,0,1999,2008,2,0,0,12180.86222,0,1186,1184,1184,2.47397260273973,2.46027397260274,2.46027397260274,4,1,6
1504,1,1999,2010,4,0,0,46894.30054,0,1404,507,221,1.74794520547945,5.94246575342466,10.9808219178082,8,1,9
1506,0,1999,2007,2,0,1,107516.6545,0,1200,1156,1156,3.05205479452055,3.08219178082192,3.08219178082192,6,1,5
1508,0,1999,2004,2,0,0,183795.918605,1,168,1045,1045,9.7041095890411,2.67945205479452,2.67945205479452,NA,0,NA
1509,1,1999,2010,2,0,0,62248.37901,0,925,1287,1287,4.80821917808219,1.36164383561644,1.36164383561644,4,1,3
1510,0,1999,2009,2,0,0,72911.51351,0,1247,1020,1020,2.42739726027397,3.63013698630137,3.63013698630137,5,1,5
1511,0,1999,2002,3,0,0,86232.718895,0,840,597,597,4.86849315068493,5.02465753424658,5.02465753424658,1,1,1
1512,1,1999,2008,2,0,0,45361.87027,0,951,1196,1196,4.0958904109589,3.03013698630137,3.03013698630137,5,1,5
1513,0,1999,2001,2,0,0,13689.54748,0,1244,467,1188,2.28219178082192,7.00821917808219,2.73424657534247,0,1,0
1514,1,1999,2000,2,0,0,57556.08007,0,1059,494,1167,2.96712328767123,9.01095890410959,2.99178082191781,0,1,0
1515,1,1999,2001,2,0,0,36922.6349,0,444,1166,1166,6.52602739726027,2.61369863013699,2.61369863013699,0,1,0
1517,0,1998,2001,2,0,0,70352.2648,0,639,208,1028,4.36712328767123,9.6027397260274,3.16438356164384,2,1,3
1521,1,1999,2001,4,1,0,32345.13271,0,826,1213,1212,5.24383561643836,2.07123287671233,3.06575342465753,0,1,0
1523,1,1999,2013,2,0,0,85330.55983,0,949,557,557,3.87397260273973,5.9013698630137,5.9013698630137,5,1,8
1524,1,1999,2007,3,1,1,424195.7973,0,938,1028,1168,5.21095890410959,4.16986301369863,2.79452054794521,3,1,6
1527,0,1999,2001,3,1,1,171886.8924,0,1403,849,849,1.97808219178082,5.21917808219178,5.21917808219178,0,1,0
1531,0,1999,2002,2,0,0,85330.55983,0,949,557,557,4.04931506849315,6.07671232876712,6.07671232876712,0,1,0
1532,0,1999,2010,2,0,0,30202.16877,0,596,911,497,6.12328767123288,5.25205479452055,6.12328767123288,7,1,9
1533,1,1999,2015,3,1,1,424195.7973,0,677,1028,1168,6.10684931506849,4.16986301369863,2.79452054794521,11,1,14
1534,1,1998,2000,4,0,0,102697.6702,0,853,865,865,4.18904109589041,4.16164383561644,4.16164383561644,1,1,1
1535,1,1999,2000,2,0,0,321040.7276,0,168,1018,1045,10.0465753424658,3.73972602739726,3.02191780821918,0,1,0
1536,0,1999,2008,2,0,0,92636.54807,0,1017,1018,1018,7.08493150684932,3.85205479452055,3.85205479452055,3,1,6
1538,0,1999,2008,2,0,0,123259.8155,0,459,607,1290,6.95342465753425,6.04109589041096,1.68767123287671,1,1,5
1539,1,1999,2008,2,0,1,123259.8155,0,459,176,1290,7.11780821917808,11.0301369863014,1.85205479452055,1,1,1
1540,1,1999,2003,3,0,0,101980.9619,0,869,1178,453,4.22465753424658,3.18904109589041,7.12328767123288,1,1,1
1541,0,1999,2005,2,0,1,123259.8155,0,459,1290,1290,7.12054794520548,1.85479452054795,1.85479452054795,1,1,1
1542,1,1999,2012,2,0,0,157322.1249,0,1022,1199,1199,3.89041095890411,3.19178082191781,3.19178082191781,7,1,10
1543,1,1999,2009,5,0,1,45771.60847,0,199,609,609,12.3506849315068,5.73972602739726,5.73972602739726,4,1,9
1545,1,1999,2000,3,1,0,56633.58583,0,1432,1187,1187,1.13972602739726,2.68493150684932,2.68493150684932,0,1,0
1548,0,1999,2000,3,0,0,267269.382,0,1024,676,676,4.23013698630137,6.16712328767123,6.16712328767123,0,1,0
1549,1,1999,2002,3,1,0,93748.2493,0,1042,176,176,3.21917808219178,11.0301369863014,11.0301369863014,0,1,0
1550,0,1999,2004,2,0,0,42927.23501,1,1218,886,886,3.16438356164384,4.11506849315068,4.11506849315068,NA,0,NA
1551,1,1999,2003,3,0,0,101980.9619,0,869,1178,453,4.06027397260274,3.02465753424658,6.95890410958904,1,1,1
1552,0,1999,2002,2,0,1,129508.309,0,1369,1032,1032,2.19452054794521,3.27945205479452,3.27945205479452,2,1,2
1553,1,1999,2010,3,1,1,124809.7067,0,604,1274,921,6.23287671232877,2.70958904109589,5.35068493150685,6,1,8
1555,0,1999,2001,6,1,0,50422.35891,0,199,609,609,12.6794520547945,6.06849315068493,6.06849315068493,0,1,0
1557,1,1999,2003,3,1,1,124809.7067,0,604,921,921,6.23561643835616,5.35342465753425,5.35342465753425,2,1,1
1558,0,1999,2009,2,0,0,138665.1903,0,466,51,51,6.14794520547945,12.5808219178082,12.5808219178082,1,1,5
1559,0,1999,2009,3,0,0,49394.36618,0,458,499,499,7.14794520547945,6.24109589041096,6.24109589041096,4,1,5
1560,0,1999,2002,2,0,0,35835.29462,0,823,499,1268,5.36712328767123,6.24109589041096,1.70684931506849,0,1,0
1561,0,1999,2004,3,0,0,128286.1631,1,1386,216,1274,2.12876712328767,11.1917808219178,2.71232876712329,NA,0,NA
1563,0,1999,2009,2,0,0,20696.99488,0,450,634,629,6.66301369863014,5.72602739726027,5.72876712328767,2,1,3
