"ID","Sex","Year","BirthYear","FinalYear","ARS1yr","GroupSize","HelpersF","Siblings","TQ","MotherID","FatherID","DominantMaleID","AgeMother","AgeFather","DominantMaleAge"
6196,1,2017,2013,2017,0,2,0,0,34560.18811,5537,5626,4947,4.08219178082192,3.09041095890411,7.20547945205479
6198,0,2014,2014,2015,0,4,1,0,10972.31152,4958,5626,5626,7.71506849315069,3.69315068493151,3.69315068493151
6198,0,2015,2014,2015,0,4,1,0,10972.31152,4958,5626,5626,7.71506849315069,3.69315068493151,3.69315068493151
6202,1,2014,2014,2016,0,2,0,0,27662.66425,5613,5522,5779,4.11506849315068,4.73972602739726,3.50958904109589
6202,1,2016,2014,2016,0,2,0,0,27662.66425,5613,5522,5779,4.11506849315068,4.73972602739726,3.50958904109589
6202,1,2015,2014,2016,0,2,0,0,27662.66425,5613,5522,5779,4.11506849315068,4.73972602739726,3.50958904109589
6203,1,2015,2014,2016,0,2,0,0,23233.34649,3491,5291,5291,9.12602739726027,5.69041095890411,5.69041095890411
6203,1,2014,2014,2016,0,2,0,0,23233.34649,3491,5291,5291,9.12602739726027,5.69041095890411,5.69041095890411
6203,1,2016,2014,2016,0,2,0,0,23233.34649,3491,5291,5291,9.12602739726027,5.69041095890411,5.69041095890411
6205,1,2014,2014,2015,0,3,0,0,19292.64134,3085,6047,1729,9.81917808219178,1.07945205479452,12.9616438356164
6205,1,2015,2014,2015,0,3,0,0,19292.64134,3085,6047,1729,9.81917808219178,1.07945205479452,12.9616438356164
6206,0,2015,2014,2015,0,2,0,0,7815.74747,6061,5547,5547,1.55890410958904,4.02465753424658,4.02465753424658
